county_name,county_city_precinct,wet,partly_wet,dry,authorized_beverages,notes,wet_spaces,partly_wet_spaces,,
Dallas,Dallas County,,"B-On, B-Off, W-On, W-Off, DS-Off, MB, RM",,"PW: B-On, B-Off, W-On, W-Off, DS-Off, MB, RM",,," B-On, B-Off, W-On, W-Off, DS-Off, MB, RM",,
Dallas,JP1,,"B-On, B-Off, W-On, W-Off, DS-Off, MB, RM",,"PW: B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,," B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,
Dallas,JP2,,"B-On, B-Off, W-On, W-Off, DS-Off, MB, RM",,"PW: B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,," B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,
Dallas,JP3,,"B-On, B-Off, W-On, W-Off, DS-Off, MB, RM",,"PW: B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,," B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,
Dallas,JP4,,"B-Off, W-Off, DS-Off, MB, RM",,"PW: B-Off, W-Off, DS-Off, MB, RM",,," B-Off, W-Off, DS-Off, MB, RM",,
Dallas,JP5,,"B-On, B-Off, W-On, W-Off, DS-Off, MB, RM",,"PW: B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,," B-On, B-Off, W-On, W-Off, DS-Off, MB, RM ",,
Dallas,Addison,MB,"B-On, B-Off, W-On, W-Off, DS-Off",,"W: MB;  PW: B-On, B-Off, W-On, W-Off, DS-Off",, MB," B-On, B-Off, W-On, W-Off, DS-Off",,
Dallas,Balch Springs,"B-Off, W-Off, DS-Off, RM",,,"W:  B-Off, W-Off, DS-Off, RM",,"  B-Off, W-Off, DS-Off, RM",,,
Dallas,Carrollton (Part),"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Dallas,Cedar Hill,"B-Off, W-Off",MB,,"W:  B-Off, W-Off;  PW: MB",,"  B-Off, W-Off", MB,,
