county,city,,primary,cross,street,start_date,start_date_2,end_date,adt_primary,adt_cross,adt_street,citations,Latitude,Longitude
Dallas,Dallas,all,Abrams,Forest,Abrams & Forest,1/15/07,,2/17/17,23167,36776,59943,1432,32.90908,-96.73552
Dallas,Dallas,all,Abrams,Loop 12,Abrams & Loop 12,5/17/07,,2/17/17,20762,61987,82749,3,32.8558571,-96.751098
Dallas,Dallas,all,Banner,Coit,Banner & Coit,1/31/07,, ,7102,54373,61475,848,32.92124,-96.7692
Dallas,Dallas,all,Beckley,Colorado,Beckley & Colorado,1/15/07,,2/17/17,25847,16947,42794,0,32.75889,-96.82289
Dallas,Dallas,all,Bruton,Loop 12,Bruton & Loop 12,"3/16/07, 3/14/11",, ,24170,35982,60152,6143,32.7444,-96.59726
Dallas,Dallas,all,Camp Wisdom,US 67,Camp Wisdom & US 67,"6/8/08, 7/31/10",7/31/10, ,23265,9567,32832,4188,32.6624749,-96.82366
Dallas,Dallas,all,Camp Wisdom,Westmoreland,Camp Wisdom & Westmoreland,1/15/07,,2/17/17,25172,17196,42368,624,32.661975,-96.881559
Dallas,Dallas,all,Carlisle/Cole,Lemmon,Carlisle/Cole & Lemmon,12/8/15,, ,9563,23597,33160,1917,32.807126,-96.79982
Dallas,Dallas,all,Cesar Chavez,Commerce,Cesar Chavez & Commerce,1/15/07,, ,8985,6487,15472,1068,32.78159,-96.79098
Dallas,Dallas,all,Cole,Lemmon East,Cole & Lemmon East,12/8/15,, ,9563,21141,30704,4990,32.80794,-96.79883
Collin,Dallas,all,Dallas Parkway,Frankford,Dallas Parkway & Frankford,8/12/09,, ,42935,35496,78431,1901,32.99753,-96.82931
Dallas,Dallas,all,Dallas Parkway,Keller Springs,Dallas Parkway & Keller Springs,9/25/08,, ,33516,17802,51318,1332,32.96854,-96.82149
Dallas,Dallas,all,Ferguson,Gus Thomasson,Ferguson & Gus Thomasson,1/15/07,,2/17/17,22938,16208,39146,43,32.83475,-96.67333
Dallas,Dallas,all,Ferguson,Peavy,Ferguson & Peavy,9/25/08,,2/17/17,20890,6814,27704,704,32.81871,-96.68446
Dallas,Dallas,all,Forest,Inwood,Forest & Inwood,5/23/07,,2/17/17,37008,22471,59479,703,32.90944,-96.81851
Dallas,Dallas,all,Forest,Plano,Forest & Plano,11/7/08,, ,52003,31978,83981,3812,32.90911,-96.6767799
Dallas,Dallas,all,Forest,Schroeder,Forest & Schroeder,9/25/08,, ,53842,4509,58351,1825,32.90933,-96.76314
Collin,Dallas,all,Frankford,SH 289,Frankford & SH 289,"7/7/07, 7/1/10",7/1/10, ,29614,55772,85386,3103,32.99824,-96.79784
Dallas,Dallas,all,Graham,Lindsley,Graham & Lindsley,3/23/10,,2/17/17,5540,5177,10717,0,32.79592,-96.75145
Dallas,Dallas,all,Greenville,Mockingbird,Greenville & Mockingbird,5/10/07,, ,22287,46272,68559,3471,32.83651,-96.77012
Dallas,Dallas,all,Hampton,Wheatland,Hampton & Wheatland,4/26/07,, ,22251,14870,37121,1585,32.64754,-96.85714
Dallas,Dallas,all,Harwood,IH 30 (WB),Harwood & IH 30 (WB),4/20/07,, ,14448,3138,17586,309,32.79101,-96.753
Dallas,Dallas,all,IH 30 (WB),St Paul,IH 30 (WB) & St Paul,3/31/07,, ,8090,5023,13113,675,32.76765,-96.83056
Dallas,Dallas,all,IH 635,Skillman,IH 635 & Skillman,"6/4/09, 8/14/09",8/14/09, ,18605,33076,51681,7868,32.90045,-96.71769
Dallas,Dallas,all,Illinois,IH 35 E,Illinois & IH 35 E,8/12/09,, ,38113,7263,45376,3052,32.7205749,-96.8226862
Dallas,Dallas,all,Illinois,Westmoreland,Illinois & Westmoreland,3/23/10,, ,32024,24564,56588,2606,32.72027,-96.874244
Dallas,Dallas,all,Inwood,IH 35 E,Inwood & IH 35 E,"5/4/11, 5/13/11",5/13/11, ,48761,13861,62622,4032,32.8513149,-96.8189594
Dallas,Dallas,all,Jefferson,Tyler,Jefferson & Tyler,1/15/07,,2/17/17,14517,6046,20563,422,32.743223,-96.837611
Dallas,Dallas,all,Keller Springs,Knoll Trail,Keller Springs & Knoll Trail,9/26/08,,2/17/17,17802,7400,25202,190,32.96852,-96.819988
Dallas,Dallas,all,Lancaster,Loop 12,Lancaster & Loop 12,"3/31/07, 6/29/09",6/29/09, ,20018,29797,49815,2023,32.5920622,-96.7565151
Dallas,Dallas,all,Lemmon/Marsh,Loop 12,Lemmon/Marsh & Loop 12,"4/27/07, 8/11/09",8/11/09,2/17/17,5505,41626,47131,0,32.7021,-96.74881
Dallas,Dallas,all,Lemmon,Oak Lawn,Lemmon & Oak Lawn,2/24/07,, ,47358,21432,68790,919,32.81188,-96.80568
Dallas,Dallas,all,Loop 12/Spur 348,Loop 12,Loop 12/Spur 348 & Loop 12,"5/5/07, 9/2/09",9/2/09, ,41854,25321,67175,6940,32.7021,-96.74881
Dallas,Dallas,all,Loop 12,John West,Loop 12 & John West,4/5/07,,2/17/17,45626,10996,56622,2683,32.7021,-96.74881
Dallas,Dallas,all,Loop 12,Military,Loop 12 & Military,5/28/11,, ,39688,16749,56437,6725,32.7021,-96.74881
Dallas,Dallas,all,Loop 12,SH 78,Loop 12 & SH 78,"3/27/11, 3/31/11",3/31/11, ,39760,35242,75002,7535,32.8141349,-96.9213979
Dallas,Dallas,all,Loop 12,Trammel/Walling,Loop 12 & Trammel/Walling,6/9/11,,2/17/17,58417,953,59370,1084,32.7021,-96.74881
Dallas,Dallas,all,Loop 354,Walnut Hill,Loop 354 & Walnut Hill,12/8/15,, ,38049,30943,68992,170,32.8879147,-96.9420202
Dallas,Dallas,all,Mockingbird,IH 35 E,Mockingbird & IH 35 E,7/10/07,, ,42146,13861,56007,2877,32.819062,-96.868868
Dallas,Dallas,all,SH 183,Mockingbird,SH 183 & Mockingbird,8/10/09,, ,1906,41776,43682,2719,32.817763,-96.870644
Dallas,Dallas,all,US 67,Wheatland,US 67 & Wheatland,12/8/15,, ,9739,13037,22776,1615,32.647645,-96.883836
Dallas,Dallas,all,US 75,Lemmon,US 75 & Lemmon,3/27/07,,2/17/17,19610,36158,55768,603,32.644479,-96.7201274
Dallas,Dallas,all,US 75,Lovers,US 75 & Lovers,"4/6/07, 4/21/07",4/21/07, ,22105,33761,55866,7275,32.85118,-96.79062
Dallas,Dallas,all,US 75,Mockingbird,US 75 & Mockingbird,6/3/09,, ,24404,54493,78897,5883,32.83662,-96.77876
TARRANT,Fort Worth,all,8TH AVE,ELIZABETH BLVD,8th Avenue & Elizabeth Boulevard ,1/1/08,,NOT APPLICABLE,18211,898,19109,3626,32.7166,-97.34378
TARRANT,Fort Worth,all,ALTA MERE DR,CALMONT AVE,Alta Mere Drive & Calmont Avenue,1/1/09,,NOT APPLICABLE,28889,5253,34142,3671,32.73763,-97.4452699
TARRANT,Fort Worth,all,ALTA MERE DR,CAMP BOWIE BLVD, Alta Mere Drive & Camp Bowie Boulevard,1/5/12,,NOT APPLICABLE,34656,22793,57449,1188,32.71966,-97.44194
TARRANT,Fort Worth,all,BEACH ST,E. LONG AVE, Beach Street & E. Long Avenue,10/9/10,,NOT APPLICABLE,26765,9912,36677,1747,32.80487,-97.34111
TARRANT,Fort Worth,all,BEACH ST,SCOTT AVE, Beach Street & Scott Avenue ,10/1/08,,NOT APPLICABLE,23579,2451,26030,2857,32.74769,-97.28944
TARRANT,Fort Worth,all,BRYANT IRVIN RD,I-20 SVC RD,Bryant Irvin Road & I-20 SVC Road,1/4/11,,NOT APPLICABLE,32218,12348,44566,5669,32.6689999,-97.4195
TARRANT,Fort Worth,all,BRYANT IRVIN RD,W . VICKERY BLVD, Bryant Irvin Road & W. Vickery Boulevard,1/1/08,,NOT APPLICABLE,23379,4212,27591,5952,32.72651,-97.37803
TARRANT,Fort Worth,all,CAMP BOWIE BLVD,WESTRIDGE AVE, Camp Bowie Boulevard & Westridge Avenue,11/1/11,,NOT APPLICABLE,23899,3740,27639,2551,32.72828,-97.41636
TARRANT,Fort Worth,all,CROWLEY RD,SW LOOP 820, Crowley Road & SW Loop 820,12/11/10,,NOT APPLICABLE,30020,4339,34359,12873,32.66602,-97.34607
TARRANT,Fort Worth,all,E. ALLEN AVE,SOUTH FWY NORTHBOUND SVC RD, E. Allen Avenue & South Fwy Northbound SVC Road,12/11/10,,NOT APPLICABLE,9724,8806,18530,3188,32.72611,-97.32087
TARRANT,Fort Worth,all,E. ALLEN AVE,SOUTH FWY SOUTHBOUND SVC RD, E. Allen Avenue & South Fwy Southbound Svc Road,12/11/10,,NOT APPLICABLE,17153,5078,22231,4561,32.72611,-97.32087
TARRANT,Fort Worth,all,E. BERRY ST,SOUTH FRWY NORTHBOUND SVC RD, E. Berry Street & South Frwy Northbound Svc Road,11/9/09,,NOT APPLICABLE,22558,11379,33937,3690,32.70638,-97.29091
TARRANT,Fort Worth,all,E. BERRY ST,SOUTH FRWY SOUTHBOUND SVC RD, E. Berry Street & South Frwy Southbound Svc Road,11/9/09,,NOT APPLICABLE,35132,13327,48459,3266,32.70592,-97.32096
TARRANT,Fort Worth,all,E LANCASTER AVE,RIVERSIDE DR, E. Lancaster Avenue & Riverside Drive,3/15/08,,NOT APPLICABLE,18240,19197,37437,1173,32.7461,-97.30326
TARRANT,Fort Worth,all,E. LANCASTER AVE,SANDY LANE, E. Lancaster Avenue & Sandy Lane ,8/26/08,,NOT APPLICABLE,17749,2008,19757,1805,32.73027,-97.20868
TARRANT,Fort Worth,all,E. LONG AVE,DEEN RD, E. Long Avenue & Deen Road,1/1/08,,NOT APPLICABLE,13295,9275,22570,3195,32.80526,-97.32579
TARRANT,Fort Worth,all,E. ROSEDALE ST,SOUTH FWY NORTHBOUND SVC RD, E. Rosedale Street & South Fwy Northbound Svc Road,12/13/10,,NOT APPLICABLE,21630,14829,36459,3533,32.73068,-97.2167599
TARRANT,Fort Worth,all,E. ROSEDALE ST,SOUTH FWY SOUTHBOUND SVC RD, E. Rosedale Street & South Fwy Southbound Svc Road,12/13/10,,NOT APPLICABLE,27201,19097,46298,3651,32.73265,-97.32011
TARRANT,Fort Worth,all,E. ROSEDALE ST,S. HANDLEY DR, E. Rosedale Street & S. Handley Drive,1/1/09,,NOT APPLICABLE,20388,3024,23412,2574,32.7308,-97.21887
TARRANT,Fort Worth,all,EASTCHASE PKWY,MEADOWBROOK BLVD, Eastchase Parkway & Meadowbrook Boulevard ,1/1/08,,NOT APPLICABLE,24766,15455,40221,2945,32.75702,-97.16758
TARRANT,Fort Worth,all,HWY 157,TRINITY BLVD, Highway 157 & Trinity Boulevard,4/2/12,,NOT APPLICABLE,34625,18052,52677,5528,32.81659,-97.0996
TARRANT,Fort Worth,all,HWY 820 OFF RAMP,RANDOL MILL RD, Highway 820 Off Ramp & Randol Mill Road,1/5/12,,NOT APPLICABLE,13881,7799,21680,7298,32.7783,-97.2126399
TARRANT,Fort Worth,all,I-20 SVC RD,GRANBURY RD, I-20 Svc Road & Granbury Road ,1/5/12,,NOT APPLICABLE,16008,23862,39870,3542,32.67507,-97.38084
TARRANT,Fort Worth,all,INTERSTATE 35W,W. RENDON CROWLEY RD, Interstate 35W & W. Rendon Crowley Road ,6/7/13,,NOT APPLICABLE,17321,49302,66623,10343,32.5774351,-97.3221305
TARRANT,Fort Worth,all,MCCART AVE,ALTAMESA BLVD,McCart Avenue & Altamesa Boulevard,10/1/09,,NOT APPLICABLE,33102,20697,53799,6196,32.64962,-97.36748
TARRANT,Fort Worth,all,MCCART,WESTCREEK,McCart & Westcreek ,1/1/08,,NOT APPLICABLE,36912,9034,45946,3834,32.65508,-97.36192
TARRANT,Fort Worth,all,N UNIVERSITY DR,WHITE SETTLEMENT RD, N. University Drive & White Settlement Road,11/1/11,,NOT APPLICABLE,21855,11261,33116,4187,32.75915,-97.36115
TARRANT,Fort Worth,all,NE 28TH ST,DECATUR AVE, NE. 28th Street & Decatur Avenue,1/2/09,,NOT APPLICABLE,19907,7970,27877,4329,32.79512,-97.337
TARRANT,Fort Worth,all,NW 25TH ST,CLINTON AVE, NW. 25th Street & Clinton Avenue ,10/1/08,,NOT APPLICABLE,5977,5906,11883,2720,32.78989,-97.35285
TARRANT0,Fort Worth,all,NW 28TH ST,N. MAIN ST,NW. 28th Street & N. Main Street,1/5/12,,NOT APPLICABLE,22155,10861,33016,11621,32.79522,-97.34909
TARRANT,Fort Worth,all,SOUTH FWY,SYCAMORE SCHOOL RD, South Freeway & Sycamore School Road,6/5/13,,NOT APPLICABLE,13058,14807,27865,15648,32.635,-97.32106
TARRANT,Fort Worth,all,SOUTH FWY,E. SEMINARY DR, South Freeway & E. Seminary Drive,6/11/13,,NOT APPLICABLE,15107,25435,40542,6869,32.68442,-97.32064
TARRANT,Fort Worth,all,S. HULEN ST,BELLAIRE, S. Hulen Street & Bellaire ,1/1/08,,NOT APPLICABLE,30849,12615,43464,1434,32.70422,-97.38902
TARRANT,Fort Worth,all,S. HULEN ST,GRANBURY RD, S. Hulen Street & Granbury Road,10/1/10,,NOT APPLICABLE,27402,22806,50208,4215,32.65925,-97.39963
TARRANT,Fort Worth,all,S. HULEN ST.,OVERTON RIDGE BLVD, S. Hulen Street & Overton Ridge Boulevard,10/1/08,,NOT APPLICABLE,35467,7587,43054,2771,32.67501,-97.39797
TARRANT,Fort Worth,all,S. HULEN ST,SW LOOP 820 E/ B OFF RAMP, S. Hulen Street & SW. Loop 820 E / B Off Ramp,11/9/09,,NOT APPLICABLE,40382,18336,58718,5547,32.68074,-97.39266
TARRANT,Fort Worth,all,S. HULEN ST,SW LOOP 820 WB OFF RAMP, S. Hulen Street & Sw Loop 820 WB Off Ramp,11/9/09,,NOT APPLICABLE,32674,20544,53218,7472,32.68074,-97.39266
TARRANT,Fort Worth,all,SYCAMORE SCHOOL RD,CROWLEY RD, Sycamore School Road & Crowley Road ,1/5/12,,NOT APPLICABLE,26754,29554,56308,6523,32.6348,-97.34865
TARRANT,Fort Worth,all,SYCAMORE SCHOOL RD,MCCCART AVE, Sycamore School Road & McCart Avenue ,11/1/11,,NOT APPLICABLE,22622,28103,50725,2133,32.63521,-97.33461
TARRANT,Fort Worth,all,TRAIL LAKE DR,SW LOOP 820 SVC RD, Trail Lake Drive & SW Loop 820 Svc Road ,10/1/09,,NOT APPLICABLE,14484,17897,32381,4071,32.67302,-97.37519
TARRANT,Fort Worth,all,TRINITY BLVD,PRECINCT LINE RD, Trinity Boulevard & Precinct Line Road,10/1/10,,NOT APPLICABLE,10958,9755,20713,0,32.80245,-97.18376
TARRANT,Fort Worth,all,TRINITY BLVD,STATE HIGHWAY 360 NBSR,Trinity Boulevard & State Highway 360 NBSR,12/12/09,,NOT APPLICABLE,35850,13812,49662,3729,32.82223,-97.06116
TARRANT,Fort Worth,all,TRINITY BLVD,STATE HIGHWAY 360 SBSR, Trinity Boulevard & State Highway 360 SBSR,12/12/09,,NOT APPLICABLE,32036,18686,50722,4534,32.82223,-97.06116
TARRANT,Fort Worth,all,W. BELKNAP ST,N. HENDERSON ST, W. Belknap Street & N. Henderson Street,10/1/09,,NOT APPLICABLE,16631,27303,43934,3417,32.75486,-97.33939
TARRANT,Fort Worth,all,W. BERRY ST,HEMPHILL ST, W. Berry Street & Hemphill Street,10/9/12,,NOT APPLICABLE,24597,13407,38004,3927,32.70583,-97.33162
TARRANT,Fort Worth,all,WEST FWY SVC RD,ASHLAND AVE,West Freeway Svc Road & Ashland Avenue ,11/20/09,,NOT APPLICABLE,17080,2540,19620,6927,32.733809,-97.38407
TARRANT,Fort Worth,all,W. WEATHERFORD ST,HOUSTON ST, W. Weatherford Street & Houston Street ,10/1/08,,NOT APPLICALBE,22558,11379,33937,4778,32.757157,-97.332901
TARRANT,Fort Worth,all,WESTERN CENTER BLVD,BEACH ST,Western Center Boulevard & Beach Street,1/1/08,,NOT APPLICABLE,22489,31499,53988,6559,32.861153,-97.290077
DALLAS,Garland,all,BELT LINE ROAD,SHILOH ROAD, Belt Line Road & Shiloh Road,7/12/06,, ,25752,21134,46886,4002,32.944587,-96.665304
DALLAS,Garland,all,BROADWAY BOULEVARD,CENTERVILLE ROAD,Broadway Boulevard & Centerville Road,7/14/06,, ,35514,29658,65172,2908,32.880209,-96.623156
DALLAS,Garland,all,BROADWAY BOULEVARD,I.H. 30, Broadway Boulevard & I.H. 30,5/9/09,, ,39197,16301,55498,743,32.83958,-96.595656
DALLAS,Garland,all,CENTERVILLE ROAD,I.H. 635, Centerville Road & I.H. 635,3/22/16,, ,41498,19608,61106,16526,32.85947,-96.644415
DALLAS,Garland,all,CENTERVILLE ROAD,NW HIGHWAY,Centerville Road & NW Highway ,7/28/06,, ,37823,20778,58601,8234,32.859475,-96.644636
DALLAS,Garland,all,FIRST STREET,KINGSLEY ROAD, First Street & Kingsley Road ,8/7/06,, ,20654,10515,31169,4714,32.878897,-96.630992
DALLAS,Garland,all,FOREST LANE,JUPITER ROAD, Forest Lane & Jupiter Road ,7/6/06,, ,39386,29259,68645,4616,32.90916,-96.68304
DALLAS,Garland,all,JUPITER ROAD,KINGSLEY ROAD,Jupiter Road & Kingsley Road,9/2/03,, ,31992,13183,45175,2878,32.8788,-96.68318
DALLAS,Garland,all,PLANO ROAD,BUCKINGHAM ROAD, Plano Road & Buckingham Road ,9/2/03,, ,24005,34507,58512,6220,32.929685,-96.700216
DALLAS,Garland,all,FIRST STREET,AVENUE B, First Street & Avenue B,4/24/09,, ,39404,15424,54828,885,32.878843,-96.630918
DALLAS,Garland,all,S.H. 190,SHILOH ROAD,S.H. 190 & Shiloh Road ,4/24/09,, ,13334,16917,30251,1462,32.931523,-96.615821
DALLAS,Garland,all,SHILOH ROAD,KINGSLEY ROAD, Shiloh Road & Kingsley Road ,8/5/06,,3/26/16,,,No traffic data,0,32.878783,-96.665568
Dallas,Irving,all,Belt Line Road,Pioneer Drive,Belt Line Road & Pioneer Drive,5/1/07,, ,45000,15900,60900,10897,32.829299,-96.993775
Dallas,Irving,all,Belt Line Road,Rochelle Road,Belt Line Road & Rochelle Road,8/15/05,, ,43300,10900,54200,11930,32.847488,-96.992289
Dallas,Irving,all,MacArthur Boulevard,Interstate Highway 635 WBFR,MacArthur Boulevard & Interstate Highway 635 WBFR,10/10/09,, ,45300,,No traffic data,20252,32.795655,-96.959383
Dallas,Irving,all,O'Connor Road,Lane Steet,O'Connor Road & Lane Steet,5/1/07,, ,30000,,No traffic data,21719,32.842852,-96.951308
Dallas,Irving,all,State Highway 114 WBFR,MacArthur Boulevard,State Highway 114 WBFR & MacArthur Boulevard,5/1/16,, ,,45700,No traffic data,21970,32.887389,-96.964209
Dallas,Irving,all,SH 114 WBFR,SH 161 NBFR,SH 114 WBFR & SH 161 NBFR,7/16/07,, ,,,No traffic data,54067,32.824764,-96.982449
