observed,year,month,day,place,lat,lng
2018-07-31,2018,7,31,"Pinto Canyon Rd, Marfa, TX, US",30.2903883333,-104.0401471667
2018-07-18,2018,7,18,"Co Rd 109, Ozona, TX 76943, USA",30.8227277,-101.12673617
2018-07-25,2018,7,25,"FM 649, Hebbronville, TX, US",27.0718888333,-98.88578
2018-07-26,2018,7,26,"79546, Rotan, TX, US",33.0379905629,-100.5167510447
2018-07-23,2018,7,23,"1011 N Main St, Crowell, TX 79227, USA",33.99472124,-99.72425374
2018-07-23,2018,7,23,"Foard County, US-TX, US",33.99474463,-99.7242783
2018-07-16,2018,7,16,"Jeff Davis County, US-TX, US",30.550824,-104.451699
2018-07-21,2018,7,21,"N Dean St, Marfa, TX, US",30.3609783333,-104.0111472167
2018-07-20,2018,7,20,"2833 Ridge Top Ln, Vernon, TX 76384, USA",34.1251503135,-99.3177745119
2018-07-17,2018,7,17,"RM 505, Fort Davis, TX, US",30.5248083333,-104.3893366667
2018-07-17,2018,7,17,"Texas, US",30.2251567454,-104.0951554773
2018-07-17,2018,7,17,"Main St, Fort Davis, TX, US",30.5857716667,-103.886545
2018-07-15,2018,7,15,"Hartley County, US-TX, US",35.70579093,-102.78578124
2018-07-15,2018,7,15,"1100 N Main St, Crowell, TX 79227, USA",33.9954819174,-99.7243427485
2018-07-14,2018,7,14,"US-385 N, Alpine, TX, US",30.3555,-103.042725
2018-07-13,2018,7,13,"FM 1576, Fort Hancock, TX, US",31.8111016613,-105.0772537376
2016-08-21,2016,8,21,"Wilbarger County, TX, USA",34.25774,-99.4107
2016-08-21,2016,8,21,"Wilbarger County, TX, USA",34.24632,-99.31714
2017-07-24,2017,7,24,"Harrold, TX 76364, USA",34.12134,-98.98167
2018-07-11,2018,7,11,"79124, Amarillo, TX, US",35.2362788953,-101.943274797
2018-07-08,2018,7,8,"Kent County, TX, USA",33.0355072264,-100.5235141733
2018-07-07,2018,7,7,"Stonewall County, TX, USA",33.0412902016,-100.5101761174
2018-07-06,2018,7,6,"E Highway 90, Alpine, TX, US",30.3156133333,-103.463005
2018-06-29,2018,6,29,"Commen Rd, La Pryor, TX, US",28.9892323249,-99.8214490998
