county,city,primary,cross,street,start_date,end_date,citations
Dallas,Dallas,Abrams,Forest,Abrams & Forest,1/15/07,2/17/17,"1,432"
Dallas,Dallas,Abrams,Loop 12,Abrams & Loop 12,5/17/07,2/17/17,3
Dallas,Dallas,Banner,Coit,Banner & Coit,1/31/07, ,848
Dallas,Dallas,Beckley,Colorado,Beckley & Colorado,1/15/07,2/17/17,0
Dallas,Dallas,Bruton,Loop 12,Bruton & Loop 12,"3/16/2007, 3/14/2011", ,"6,143"
Dallas,Dallas,Camp Wisdom,US 67,Camp Wisdom & US 67,"6/8/2008, 7/31/2010", ,"4,188"
Dallas,Dallas,Camp Wisdom,Westmoreland,Camp Wisdom & Westmoreland,1/15/07,2/17/17,624
Dallas,Dallas,Carlisle/Cole,Lemmon,Carlisle/Cole & Lemmon,12/8/15, ,"1,917"
Dallas,Dallas,Cesar Chavez,Commerce,Cesar Chavez & Commerce,1/15/07, ,"1,068"
Dallas,Dallas,Cole,Lemmon East,Cole & Lemmon East,12/8/15, ,"4,990"
Collin,Dallas,Dallas Parkway,Frankford,Dallas Parkway & Frankford,8/12/09, ,"1,901"
Dallas,Dallas,Dallas Parkway,Keller Springs,Dallas Parkway & Keller Springs,9/25/08, ,"1,332"
Dallas,Dallas,Ferguson,Gus Thomasson,Ferguson & Gus Thomasson,1/15/07,2/17/17,43
Dallas,Dallas,Ferguson,Peavy,Ferguson & Peavy,9/25/08,2/17/17,704
Dallas,Dallas,Forest,Inwood,Forest & Inwood,5/23/07,2/17/17,703
Dallas,Dallas,Forest,Plano,Forest & Plano,11/7/08, ,"3,812"
Dallas,Dallas,Forest,Schroeder,Forest & Schroeder,9/25/08, ,"1,825"
Collin,Dallas,Frankford,SH 289,Frankford & SH 289,"7/7/2007, 7/1/2010, 7/1/2010", ,"3,103"
Dallas,Dallas,Graham,Lindsley,Graham & Lindsley,3/23/10,2/17/17,0
Dallas,Dallas,Greenville,Mockingbird,Greenville & Mockingbird,5/10/07, ,"3,471"
Dallas,Dallas,Hampton,Wheatland,Hampton & Wheatland,4/262007, ,"1,585"
Dallas,Dallas,Harwood,IH 30 (WB),Harwood & IH 30 (WB),4/202007, ,309
Dallas,Dallas,IH 30 (WB),St Paul,IH 30 (WB) & St Paul,3/31/07, ,675
Dallas,Dallas,IH 635,Skillman,IH 635 & Skillman,"6/4/2009, 8/14/2009", ,"7,868"
Dallas,Dallas,Illinois,IH 35 E,Illinois & IH 35 E,8/12/09, ,"3,052"
Dallas,Dallas,Illinois,Westmoreland,Illinois & Westmoreland,3/23/10, ,"2,606"
Dallas,Dallas,Inwood,IH 35 E,Inwood & IH 35 E,"5/4/2011, 5/13/2011", ,"4,032"
Dallas,Dallas,Jefferson,Tyler,Jefferson & Tyler,1/15/07,2/17/17,422
Dallas,Dallas,Keller Springs,Knoll Trail,Keller Springs & Knoll Trail,9/26/08,2/17/17,190
Dallas,Dallas,Lancaster,Loop 12,Lancaster & Loop 12,"3/31/2007, 6/29/2009", ,"2,023"
Dallas,Dallas,Lemmon/Marsh,Loop 12,Lemmon/Marsh & Loop 12,"4/27/2007, 8/11/2009",2/17/17,0
