county,city,primary,cross,street,start_date,end_date,citations
TARRANT,FORT WORTH,WEST FWY SVC RD,ASHLAND AVE,WEST FWY SVC RD & ASHLAND AVE,11/20/09,NOT APPLICABLE,"6,927"
TARRANT,FORT WORTH,W. WEATHERFORD ST,HOUSTON ST,W. WEATHERFORD ST & HOUSTON ST,10/1/08,NOT APPLICALBE,"4,778"
TARRANT,FORT WORTH,WESTERN CENTER BLVD,BEACH ST,WESTERN CENTER BLVD & BEACH ST,1/1/08,NOT APPLICABLE,"6,559"
DALLAS,GARLAND,BELT LINE ROAD,SHILOH ROAD,BELT LINE ROAD & SHILOH ROAD,7/12/06, ,"4,002"
DALLAS,GARLAND,BROADWAY BOULEVARD,CENTERVILLE ROAD,BROADWAY BOULEVARD & CENTERVILLE ROAD,7/14/06, ,"2,908"
DALLAS,GARLAND,BROADWAY BOULEVARD,I.H. 30,BROADWAY BOULEVARD & I.H. 30,5/9/09, ,743
DALLAS,GARLAND,CENTERVILLE ROAD,I.H. 635,CENTERVILLE ROAD & I.H. 635,3/22/16, ,"16,526"
DALLAS,GARLAND,CENTERVILLE ROAD,NW HIGHWAY,CENTERVILLE ROAD & NW HIGHWAY,7/28/06, ,"8,234"
DALLAS,GARLAND,FIRST STREET,KINGSLEY ROAD,FIRST STREET & KINGSLEY ROAD,8/7/06, ,"4,714"
DALLAS,GARLAND,FOREST LANE,JUPITER ROAD,FOREST LANE & JUPITER ROAD,7/6/06, ,"4,616"
DALLAS,GARLAND,JUPITER ROAD,KINGSLEY ROAD,JUPITER ROAD & KINGSLEY ROAD,9/2/03, ,"2,878"
DALLAS,GARLAND,PLANO ROAD,BUCKINGHAM ROAD,PLANO ROAD & BUCKINGHAM ROAD,9/2/03, ,"6,220"
DALLAS,GARLAND,FIRST STREET,AVENUE B,FIRST STREET & AVENUE B,4/24/09, ,885
DALLAS,GARLAND,S.H. 190,SHILOH ROAD,S.H. 190 & SHILOH ROAD,4/24/09, ,"1,462"
DALLAS,GARLAND,SHILOH ROAD,KINGSLEY ROAD,SHILOH ROAD & KINGSLEY ROAD,8/5/06,3/26/16,0
Dallas,Irving,Belt Line Road,Pioneer Drive,Belt Line Road & Pioneer Drive,1-May-07, ,"10,897"
Dallas,Irving,Belt Line Road,Rochelle Road,Belt Line Road & Rochelle Road,15-Aug-05, ,"11,930"
Dallas,Irving,MacArthur Boulevard,Interstate Highway 635 WBFR,MacArthur Boulevard & Interstate Highway 635 WBFR,10-Oct-09, ,"20,252"
Dallas,Irving,O'Connor Road,Lane Steet,O'Connor Road & Lane Steet,1-May-07, ,"21,719"
Dallas,Irving,State Highway 114 WBFR,MacArthur Boulevard,State Highway 114 WBFR & MacArthur Boulevard,1-May-16, ,"21,970"
Dallas,Irving,SH 114 WBFR,SH 161 NBFR,SH 114 WBFR & SH 161 NBFR,16-Jul-07, ,"54,067"
Dallas,Irving,SH 161 NBFR,Gateway Drive,SH 161 NBFR & Gateway Drive,16-Jul-07, ,"35,930"
Dallas,Irving,State Highway 356,State Highway Loop 12 SBFR,State Highway 356 & State Highway Loop 12 SBFR,16-Jul-07, ,"71,556"
Dallas,Irving,State Highway 356,Story Road,State Highway 356 & Story Road,10-Oct-09, ,"61,941"
Collin,Plano,Coit Rd,W. Spring Creek Pkwy,Coit Rd & W. Spring Creek Pkwy,1/31/07, ,"7,917"
Collin,Plano,Coit Rd,W. Park Blvd,Coit Rd & W. Park Blvd,6/19/07, ,"2,505"
Collin,Plano,NB Dallas Pkwy,Headquarters DR,NB Dallas Pkwy & Headquarters DR,10/1/14, ,"6,096"
Collin,Plano,Jupiter Rd,Plano Pkwy,Jupiter Rd & Plano Pkwy,1/31/07, ,"13,974"
Collin,Plano,Legacy Dr,SB Dallas Pkwy,Legacy Dr & SB Dallas Pkwy,3/1/06, ,"9,460"
Collin,Plano,Legacy Dr WB,Dallas Pkwy NB,Legacy Dr WB & Dallas Pkwy NB,10/24/06, ,"13,566"
Collin,Plano,Park Blvd,Dallas Pkwy SB,Park Blvd & Dallas Pkwy SB,10/1/14, ,"9,813"
Collin,Plano,SH 121 SR NB,Custer Rd,SH 121 SR NB & Custer Rd,6/4/07, ,"4,172"
Collin,Plano,SH 121 SR NB,Preston Rd/SH 289,SH 121 SR NB & Preston Rd/SH 289,12/1/10, ,"3,382"
Collin,Plano,SH 289/Preston Rd,W. Park Blvd,SH 289/Preston Rd & W. Park Blvd,12/1/10, ,"11,790"
Collin,Plano,SH 289/Preston Rd,W. Plano Pkwy,SH 289/Preston Rd & W. Plano Pkwy,6/4/07, ,"5,813"
Collin,Plano,SH 289/Preston Rd,W. Spring Creek Pkwy,SH 289/Preston Rd & W. Spring Creek Pkwy,6/4/07, ,"8,022"
Collin,Plano,W. 15 St,Independence Pkwy,W. 15 St & Independence Pkwy,3/1/06, ,"1,040"
Collin,Plano,W. Parker Rd,Dallas Pkwy SR SB,W. Parker Rd & Dallas Pkwy SR SB,1/31/07, ,"2,886"
Collin,Plano,W. Plano Pkwy,Dallas Pkwy SR SB,W. Plano Pkwy & Dallas Pkwy SR SB,1/31/07, ,"6,429"
Collin,Plano,W. Park Blvd,Ventura Dr,W. Park Blvd & Ventura Dr,3/1/06, ,"2,274"
Collin,Plano,W. Spring Creek Pkwy,Custer Rd,W. Spring Creek Pkwy & Custer Rd,3/1/06, ,"2,069"
Collin,Plano,W. Spring Creek Pkwy,Independence Pkwy,W. Spring Creek Pkwy & Independence Pwky,8/24/10,,"1,938"
