county,city,primary,cross,street,adt_primary,adt_cross,start_date,end_date,citations
,,,,None & None,,,,,
Dallas,Dallas,Abrams,Forest,Abrams & Forest,23167,36776,1/15/07,2/17/17,"1,432"
Dallas,Dallas,Abrams,Loop 12,Abrams & Loop 12,20762,61987,5/17/07,2/17/17,3
Dallas,Dallas,Banner,Coit,Banner & Coit,7102,54373,1/31/07, ,848
Dallas,Dallas,Beckley,Colorado,Beckley & Colorado,25847,16947,1/15/07,2/17/17,0
Dallas,Dallas,Bruton,Loop 12,Bruton & Loop 12,24170,35982,"3/16/2007, 3/14/2011", ,"6,143"
Dallas,Dallas,Camp Wisdom,US 67,Camp Wisdom & US 67,23265,9567,"6/8/2008, 7/31/2010", ,"4,188"
Dallas,Dallas,Camp Wisdom,Westmoreland,Camp Wisdom & Westmoreland,25172,17196,1/15/07,2/17/17,624
Dallas,Dallas,Carlisle/Cole,Lemmon,Carlisle/Cole & Lemmon,9563,23597,12/8/15, ,"1,917"
Dallas,Dallas,Cesar Chavez,Commerce,Cesar Chavez & Commerce,8985,6487,1/15/07, ,"1,068"
Dallas,Dallas,Cole,Lemmon East,Cole & Lemmon East,9563,21141,12/8/15, ,"4,990"
Collin,Dallas,Dallas Parkway,Frankford,Dallas Parkway & Frankford,42935,35496,8/12/09, ,"1,901"
Dallas,Dallas,Dallas Parkway,Keller Springs,Dallas Parkway & Keller Springs,33516,17802,9/25/08, ,"1,332"
Dallas,Dallas,Ferguson,Gus Thomasson,Ferguson & Gus Thomasson,22938,16208,1/15/07,2/17/17,43
Dallas,Dallas,Ferguson,Peavy,Ferguson & Peavy,20890,6814,9/25/08,2/17/17,704
Dallas,Dallas,Forest,Inwood,Forest & Inwood,37008,22471,5/23/07,2/17/17,703
Dallas,Dallas,Forest,Plano,Forest & Plano,52003,31978,11/7/08, ,"3,812"
Dallas,Dallas,Forest,Schroeder,Forest & Schroeder,53842,4509,9/25/08, ,"1,825"
Collin,Dallas,Frankford,SH 289,Frankford & SH 289,29614,55772,"7/7/2007, 7/1/2010, 7/1/2010", ,"3,103"
Dallas,Dallas,Graham,Lindsley,Graham & Lindsley,5540,5177,3/23/10,2/17/17,0
Dallas,Dallas,Greenville,Mockingbird,Greenville & Mockingbird,22287,46272,5/10/07, ,"3,471"
Dallas,Dallas,Hampton,Wheatland,Hampton & Wheatland,22251,14870,4/262007, ,"1,585"
Dallas,Dallas,Harwood,IH 30 (WB),Harwood & IH 30 (WB),14448,3138,4/202007, ,309
Dallas,Dallas,IH 30 (WB),St Paul,IH 30 (WB) & St Paul,8090,5023,3/31/07, ,675
Dallas,Dallas,IH 635,Skillman,IH 635 & Skillman,18605,33076,"6/4/2009, 8/14/2009", ,"7,868"
Dallas,Dallas,Illinois,IH 35 E,Illinois & IH 35 E,38113,7263,8/12/09, ,"3,052"
Dallas,Dallas,Illinois,Westmoreland,Illinois & Westmoreland,32024,24564,3/23/10, ,"2,606"
Dallas,Dallas,Inwood,IH 35 E,Inwood & IH 35 E,48761,13861,"5/4/2011, 5/13/2011", ,"4,032"
Dallas,Dallas,Jefferson,Tyler,Jefferson & Tyler,14517,6046,1/15/07,2/17/17,422
Dallas,Dallas,Keller Springs,Knoll Trail,Keller Springs & Knoll Trail,17802,7400,9/26/08,2/17/17,190
Dallas,Dallas,Lancaster,Loop 12,Lancaster & Loop 12,20018,29797,"3/31/2007, 6/29/2009", ,"2,023"
Dallas,Dallas,Lemmon/Marsh,Loop 12,Lemmon/Marsh & Loop 12,5505,41626,"4/27/2007, 8/11/2009",2/17/17,0
Dallas,Dallas,Lemmon,Oak Lawn,Lemmon & Oak Lawn,47358,21432,2/24/07, ,919
Dallas,Dallas,Loop 12/Spur 348,Loop 12,Loop 12/Spur 348 & Loop 12,41854,25321,"5/5/2007, 9/2/2009", ,"6,940"
Dallas,Dallas,Loop 12,John West,Loop 12 & John West,45626,10996,4/5/07,2/17/17,"2,683"
Dallas,Dallas,Loop 12,Military,Loop 12 & Military,39688,16749,5/28/11, ,"6,725"
Dallas,Dallas,Loop 12,SH 78,Loop 12 & SH 78,39760,35242,"3/27/2011, 3/27/2011, 3/31/2011", ,"7,535"
Dallas,Dallas,Loop 12,Trammel/Walling,Loop 12 & Trammel/Walling,58417,953,6/9/11,2/17/17,"1,084"
Dallas,Dallas,Loop 354,Walnut Hill,Loop 354 & Walnut Hill,38049,30943,12/8/15, ,170
Dallas,Dallas,Mockingbird,IH 35 E,Mockingbird & IH 35 E,42146,13861,7/10/07, ,"2,877"
Dallas,Dallas,SH 183,Mockingbird,SH 183 & Mockingbird,1906,41776,8/10/09, ,"2,719"
Dallas,Dallas,US 67,Wheatland,US 67 & Wheatland,9739,13037,12/8/15, ,"1,615"
Dallas,Dallas,US 75,Lemmon,US 75 & Lemmon,19610,36158,3/27/07,2/17/17,603
Dallas,Dallas,US 75,Lovers,US 75 & Lovers,22105,33761,"4/6/2007, 4/21/2007", ,"7,275"
Dallas,Dallas,US 75,Mockingbird,US 75 & Mockingbird,24404,54493,6/3/09, ,"5,883"
TARRANT,FORT WORTH,8TH AVE,ELIZABETH BLVD,8TH AVE & ELIZABETH BLVD,18211,898,1/1/08,NOT APPLICABLE,"3,626"
TARRANT,FORT WORTH,ALTA MERE DR,CALMONT AVE,ALTA MERE DR & CALMONT AVE,28889,5253,1/1/09,NOT APPLICABLE,"3,671"
TARRANT,FORT WORTH,ALTA MERE DR,CAMP BOWIE BLVD,ALTA MERE DR & CAMP BOWIE BLVD,34656,22793,1/5/12,NOT APPLICABLE,"1,188"
TARRANT,FORT WORTH,BEACH ST,E. LONG AVE,BEACH ST & E. LONG AVE,26765,9912,10/9/10,NOT APPLICABLE,"1,747"
TARRANT,FORT WORTH,BEACH ST,SCOTT AVE,BEACH ST & SCOTT AVE,23579,2451,10/1/08,NOT APPLICABLE,"2,857"
TARRANT,FORT WORTH,BRYANT IRVIN RD,I-20 SVC RD,BRYANT IRVIN RD & I-20 SVC RD,32218,12348,1/4/11,NOT APPLICABLE,"5,669"
TARRANT,FORT WORTH,BRYANT IRVIN RD,W . VICKERY BLVD,BRYANT IRVIN RD & W . VICKERY BLVD,23379,4212,1/1/08,NOT APPLICABLE,"5,952"
TARRANT,FORT WORTH,CAMP BOWIE BLVD,WESTRIDGE AVE,CAMP BOWIE BLVD & WESTRIDGE AVE,23899,3740,11/1/11,NOT APPLICABLE,"2,551"
TARRANT,FORT WORTH,CROWLEY RD,SW LOOP 820,CROWLEY RD & SW LOOP 820,30020,4339,12/11/10,NOT APPLICABLE,"12,873"
TARRANT,FORT WORTH,E. ALLEN AVE,SOUTH FWY NORTHBOUND SVC RD,E. ALLEN AVE & SOUTH FWY NORTHBOUND SVC RD,9724,8806,12/11/10,NOT APPLICABLE,"3,188"
TARRANT,FORT WORTH,E. ALLEN AVE,SOUTH FWY SOUTHBOUND SVC RD,E. ALLEN AVE & SOUTH FWY SOUTHBOUND SVC RD,17153,5078,12/11/10,NOT APPLICABLE,"4,561"
TARRANT,FORT WORTH,E. BERRY ST,SOUTH FRWY NORTHBOUND SVC RD,E. BERRY ST & SOUTH FRWY NORTHBOUND SVC RD,22558,11379,11/9/09,NOT APPLICABLE,"3,690"
