county,city,primary,cross,street,start_date,start_date_2,end_date,citations,Latitude,Longitude,City,State,Country,Zip,Address components,Relevance
Dallas,Dallas,Abrams,Forest,Abrams & Forest,1/15/07,,2/17/17,"1,432",32.90908,-96.73552,Dallas,TX,USA,75243,"Abrams Rd & Forest Ln, Dallas, TX 75243, United States",1
Dallas,Dallas,Abrams,Loop 12,Abrams & Loop 12,5/17/07,,2/17/17,3,32.8558571,-96.751098,Dallas,TX,USA,75214,"100 Abrams Rd, Dallas, TX 75214, United States",0.77
Dallas,Dallas,Banner,Coit,Banner & Coit,1/31/07,, ,848,32.92124,-96.7692,Dallas,TX,USA,75251,"Banner Dr & Coit Rd, Dallas, TX 75251, United States",1
Dallas,Dallas,Beckley,Colorado,Beckley & Colorado,1/15/07,,2/17/17,0,32.75889,-96.82289,Dallas,TX,USA,75203,"N Beckley Ave & E Colorado Blvd, Dallas, TX 75203, United States",1
Dallas,Dallas,Bruton,Loop 12,Bruton & Loop 12,3/16/07,3/14/11, ,"6,143",32.7444,-96.59726,Mesquite,TX,USA,75149,"100 Bruton Ln W, Mesquite, TX 75149, United States",0.77
Dallas,Dallas,Camp Wisdom,US 67,Camp Wisdom & US 67,6/8/08,7/31/10, ,"4,188",32.6624749,-96.82366,Dallas,TX,USA,75232,"101 W Camp Wisdom Rd, Dallas, TX 75232, United States",0.96
Dallas,Dallas,Camp Wisdom,Westmoreland,Camp Wisdom & Westmoreland,1/15/07,,2/17/17,624,32.661975,-96.881559,Dallas,TX,USA,15642,"Dallas Ct, Irwin, PA 15642, United States",0.77
Dallas,Dallas,Carlisle/Cole,Lemmon,Carlisle/Cole & Lemmon,12/8/15,, ,"1,917",32.807126,-96.79982,Dallas,TX,,,,
Dallas,Dallas,Cesar Chavez,Commerce,Cesar Chavez & Commerce,1/15/07,, ,"1,068",32.78159,-96.79098,Dallas,TX,USA,75201,"S Cesar Chavez Blvd & Commerce St, Dallas, TX 75201, United States",1
Dallas,Dallas,Cole,Lemmon East,Cole & Lemmon East,12/8/15,, ,"4,990",32.80794,-96.79883,Dallas,TX,USA,75204,"Cole Ave & Lemmon Ave E, Dallas, TX 75204, United States",1
Collin,Dallas,Dallas Parkway,Frankford,Dallas Parkway & Frankford,8/12/09,, ,"1,901",32.99753,-96.82931,Dallas,TX,USA,75287,"Dallas Pkwy & Frankford Rd, Dallas, TX 75287, United States",1
Dallas,Dallas,Dallas Parkway,Keller Springs,Dallas Parkway & Keller Springs,9/25/08,, ,"1,332",32.96854,-96.82149,Dallas,TX,USA,75248,"Dallas Pkwy & Keller Springs Rd, Dallas, TX 75248, United States",1
Dallas,Dallas,Ferguson,Gus Thomasson,Ferguson & Gus Thomasson,1/15/07,,2/17/17,43,32.83475,-96.67333,Dallas,TX,USA,75228,"Ferguson Rd & Gus Thomasson Rd, Dallas, TX 75228, United States",1
Dallas,Dallas,Ferguson,Peavy,Ferguson & Peavy,9/25/08,,2/17/17,704,32.81871,-96.68446,Dallas,TX,USA,75228,"Ferguson Rd & Peavy Rd, Dallas, TX 75228, United States",1
Dallas,Dallas,Forest,Inwood,Forest & Inwood,5/23/07,,2/17/17,703,32.90944,-96.81851,Dallas,TX,USA,75229,"Forest Ln & Inwood Rd, Dallas, TX 75229, United States",1
Dallas,Dallas,Forest,Plano,Forest & Plano,11/7/08,, ,"3,812",32.90911,-96.6767799,Garland,TX,USA,75042,"Forest Ln, Garland, TX 75042, United States",1
Dallas,Dallas,Forest,Schroeder,Forest & Schroeder,9/25/08,, ,"1,825",32.90933,-96.76314,Dallas,TX,USA,75243,"Forest Ln & Schroeder Rd, Dallas, TX 75243, United States",1
Collin,Dallas,Frankford,SH 289,Frankford & SH 289,7/7/07,7/1/10, ,"3,103",32.99824,-96.79784,Dallas,TX,USA,75252,"Frankford Rd & TX-289, Dallas, TX 75252, United States",1
Dallas,Dallas,Graham,Lindsley,Graham & Lindsley,3/23/10,,2/17/17,0,32.79592,-96.75145,Dallas,TX,USA,75223,"Graham Ave & Lindsley Ave, Dallas, TX 75223, United States",1
Dallas,Dallas,Greenville,Mockingbird,Greenville & Mockingbird,5/10/07,, ,"3,471",32.83651,-96.77012,Dallas,TX,USA,75206,"Greenville Ave & E Mockingbird Ln, Dallas, TX 75206, United States",1
Dallas,Dallas,Hampton,Wheatland,Hampton & Wheatland,4/26/07,, ,"1,585",32.64754,-96.85714,Dallas,TX,USA,75232,"S Hampton Rd & W Wheatland Rd, Dallas, TX 75232, United States",1
Dallas,Dallas,Harwood,IH 30 (WB),Harwood & IH 30 (WB),4/20/07,, ,309,32.79101,-96.753,Dallas,TX,USA,75223,"I-30, Dallas, TX 75223, United States",1
Dallas,Dallas,IH 30 (WB),St Paul,IH 30 (WB) & St Paul,3/31/07,, ,675,32.76765,-96.83056,Dallas,TX,USA,75208,"Interstate 30, Dallas, TX 75208, United States",1
Dallas,Dallas,IH 635,Skillman,IH 635 & Skillman,6/4/09,8/14/09, ,"7,868",32.90045,-96.71769,Dallas,TX,USA,75243,"I-635 & Skillman St, Dallas, TX 75243, United States",1
Dallas,Dallas,Illinois,IH 35 E,Illinois & IH 35 E,8/12/09,, ,"3,052",32.7205749,-96.8226862,Dallas,TX,USA,75216,"101 E Illinois Ave, Dallas, TX 75216, United States",1
Dallas,Dallas,Illinois,Westmoreland,Illinois & Westmoreland,3/23/10,, ,"2,606",32.72027,-96.874244æ,Dallas,TX,USA,61102,"Westmoreland, Rockford, IL, United States",1
Dallas,Dallas,Inwood,IH 35 E,Inwood & IH 35 E,5/4/11,5/13/11, ,"4,032",32.8513149,-96.8189594,Dallas,TX,USA,75209,"101 Inwood Vlg, Dallas, TX 75209, United States",1
Dallas,Dallas,Jefferson,Tyler,Jefferson & Tyler,1/15/07,,2/17/17,422,32.743223,-96.837611,Dallas,TX,USA,36785,"Tyler, AL, United States",1
Dallas,Dallas,Keller Springs,Knoll Trail,Keller Springs & Knoll Trail,9/26/08,,2/17/17,190,32.96852,-96.819988,Dallas,TX,USA,75248,"Keller Springs Rd & Knoll Trail Dr, Dallas, TX 75248, United States",1
Dallas,Dallas,Lancaster,Loop 12,Lancaster & Loop 12,3/31/07,6/29/09, ,"2,023",32.5920622,-96.7565151,Lancaster,TX,USA,75146,"100 S Dallas Ave, Lancaster, TX 75146, United States",1
Dallas,Dallas,Lemmon/Marsh,Loop 12,Lemmon/Marsh & Loop 12,4/27/07,8/11/09,2/17/17,0,32.7021,-96.74881,Dallas,TX,USA,75241,"Loop 12, Dallas, TX 75241, United States",1
Dallas,Dallas,Lemmon,Oak Lawn,Lemmon & Oak Lawn,2/24/07,, ,919,32.81188,-96.80568,Dallas,TX,USA,75219,"Lemmon Ave & Oak Lawn Ave, Dallas, TX 75219, United States",1
Dallas,Dallas,Loop 12/Spur 348,Loop 12,Loop 12/Spur 348 & Loop 12,5/5/07,9/2/09, ,"6,940",32.7021,-96.74881,Dallas,TX,USA,75241,"Loop 12, Dallas, TX 75241, United States",1
Dallas,Dallas,Loop 12,John West,Loop 12 & John West,4/5/07,,2/17/17,"2,683",32.7021,-96.74881,Dallas,TX,USA,75241,"Loop 12, Dallas, TX 75241, United States",1
Dallas,Dallas,Loop 12,Military,Loop 12 & Military,5/28/11,, ,"6,725",32.7021,-96.74881,Dallas,TX,USA,75241,"Loop 12, Dallas, TX 75241, United States",1
Dallas,Dallas,Loop 12,SH 78,Loop 12 & SH 78,3/27/11,3/31/11, ,"7,535",32.8141349,-96.9213979,Irving,TX,USA,75060,"100 S Loop 12, Irving, TX 75060, United States",1
Dallas,Dallas,Loop 12,Trammel/Walling,Loop 12 & Trammel/Walling,6/9/11,,2/17/17,"1,084",32.7021,-96.74881,Dallas,TX,USA,75241,"Loop 12, Dallas, TX 75241, United States",1
Dallas,Dallas,Loop 354,Walnut Hill,Loop 354 & Walnut Hill,12/8/15,, ,170,32.8879147,-96.9420202,Irving,TX,USA,75039,"299 E Walnut Hill Ln, Irving, TX 75039, United States",1
Dallas,Dallas,Mockingbird,IH 35 E,Mockingbird & IH 35 E,7/10/07,, ,"2,877",32.819062,-96.868868,Dallas,TX,USA,71953,"101 Mockingbird Ln, Mena, AR 71953, United States",1
Dallas,Dallas,SH 183,Mockingbird,SH 183 & Mockingbird,8/10/09,, ,"2,719",32.817763,-96.870644,Dallas ,TX,USA,71953,"183 Mockingbird Ln, Mena, AR 71953, United States",1
Dallas,Dallas,US 67,Wheatland,US 67 & Wheatland,12/8/15,, ,"1,615",32.647645,-96.883836,Dallas ,TX,USA,4970,"67 Wheatland Rd, Rangeley, ME 04970, United States",1
Dallas,Dallas,US 75,Lemmon,US 75 & Lemmon,3/27/07,,2/17/17,603,32.644479,-96.7201274,Hutchins,TX,USA,75141,"101 S JJ Lemmon St, Hutchins, TX 75141, United States",1
Dallas,Dallas,US 75,Lovers,US 75 & Lovers,4/6/07,4/21/07, ,"7,275",32.85118,-96.79062,Dallas,TX,USA,75225,"Lovers Ln, Dallas, TX 75225, United States",1
Dallas,Dallas,US 75,Mockingbird,US 75 & Mockingbird,6/3/09,, ,"5,883",32.83662,-96.77876,Dallas,TX,USA,75206,"US-75 & Mockingbird Ln, Dallas, TX 75206, United States",1
TARRANT,FORT WORTH,8TH AVE,ELIZABETH BLVD,8TH AVE & ELIZABETH BLVD,1/1/08,,NOT APPLICABLE,"3,626",32.7166,-97.34378,Fort Worth,TX,USA,76110,"8th Ave & Elizabeth Blvd, Fort Worth, TX 76110, United States",1
TARRANT,FORT WORTH,ALTA MERE DR,CALMONT AVE,ALTA MERE DR & CALMONT AVE,1/1/09,,NOT APPLICABLE,"3,671",32.73763,-97.4452699,Fort Worth,TX,USA,76116,"Alta Mere Dr & Calmont Ave, Fort Worth, TX 76116, United States",1
TARRANT,FORT WORTH,ALTA MERE DR,CAMP BOWIE BLVD,ALTA MERE DR & CAMP BOWIE BLVD,1/5/12,,NOT APPLICABLE,"1,188",32.71966,-97.44194,Fort Worth,TX,USA,76116,"Alta Mere Dr & Camp Bowie Blvd, Fort Worth, TX 76116, United States",1
TARRANT,FORT WORTH,BEACH ST,E. LONG AVE,BEACH ST & E. LONG AVE,10/9/10,,NOT APPLICABLE,"1,747",32.80487,-97.34111,Fort Worth,TX,USA,76106,"E Long Ave, Fort Worth, TX 76106, United States",1
TARRANT,FORT WORTH,BEACH ST,SCOTT AVE,BEACH ST & SCOTT AVE,10/1/08,,NOT APPLICABLE,"2,857",32.74769,-97.28944,Fort Worth,TX,USA,76103,"Beach St & Scott Ave, Fort Worth, TX 76103, United States",1
